mortgage_id,customer_id,origination_date,original_balance,current_balance,mortgage_rate,original_term_years,remaining_term_months,monthly_payment,ltv,property_value,delinquency_flag
M0100041,C0100041,2023-04-23,243000,233000,5.65,30,320,1402.68,0.645,361000,0
M0100042,C0100042,2022-09-03,280000,267000,7.438,30,312,1945.93,0.525,509000,0
M0100043,C0100043,2022-02-07,431000,408000,4.454,30,305,2172.05,0.515,793000,0
M0100044,C0100044,2022-01-03,189000,179000,4.42,30,304,948.67,0.541,331000,0
M0100045,C0100045,2024-07-09,696000,678000,6.694,30,334,4488.37,0.721,941000,0
M0100046,C0100046,2024-10-28,202000,198000,5.747,30,338,1178.43,0.547,362000,0
M0100047,C0100047,2024-11-05,314000,307000,7.067,30,338,2103.2,0.544,564000,0
M0100048,C0100048,2021-08-10,330000,310000,4.075,30,299,1589.77,0.733,423000,0
M0100049,C0100049,2021-07-23,381000,358000,3.532,30,299,1717.67,0.565,634000,0
M0100050,C0100050,2022-08-12,411000,391000,3.922,30,312,1943.74,0.584,669000,0
M0100051,C0100051,2022-07-17,1016000,967000,6.277,30,311,6273.54,0.548,1764000,0
M0100052,C0100052,2021-11-13,242000,228000,6.821,30,303,1581.05,0.533,428000,0
M0100053,C0100053,2023-08-02,383000,355000,6.678,15,143,3373.93,0.713,498000,0
M0100054,C0100054,2021-03-23,314000,294000,6.111,30,295,1905.06,0.652,451000,0
M0100055,C0100055,2020-04-02,536000,496000,6.878,30,283,3522.21,0.495,1002000,0
M0100056,C0100056,2024-04-09,410000,398000,4.832,30,331,2159.07,0.592,672000,0
M0100057,C0100057,2022-12-06,366000,350000,3.316,30,315,1606.14,0.514,681000,0
M0100058,C0100058,2023-10-20,155000,145000,3.721,15,146,1124.97,0.65,223000,0
M0100059,C0100059,2023-09-16,261000,252000,3.901,30,325,1231.2,0.494,510000,0
M0100060,C0100060,2023-05-13,201000,193000,3.371,30,321,888.17,0.601,321000,0
M0100061,C0100061,2024-05-26,262000,255000,4.003,30,333,1251.28,0.603,423000,0
M0100062,C0100062,2023-08-09,217000,209000,4.482,30,323,1097.19,0.655,319000,0
M0100063,C0100063,2023-10-05,253000,244000,6.167,30,325,1544.13,0.522,467000,0
M0100064,C0100064,2020-10-25,267000,249000,5.824,30,290,1570.71,0.526,473000,0
M0100065,C0100065,2024-01-21,269000,261000,7.159,30,329,1818.48,0.511,511000,0
M0100066,C0100066,2025-02-11,283000,278000,4.136,30,342,1373.37,0.626,444000,0
M0100067,C0100067,2020-07-01,206000,191000,5.91,30,286,1223.18,0.497,384000,0
M0100068,C0100068,2020-04-14,334000,309000,6.948,30,284,2210.46,0.585,528000,0
M0100069,C0100069,2020-05-07,209000,194000,4.938,30,284,1114.05,0.628,309000,1
M0100070,C0100070,2024-08-06,243000,237000,5.01,30,335,1305.96,0.49,484000,0
M0100071,C0100071,2023-03-23,320000,307000,7.02,30,319,2133.27,0.66,465000,0
M0100072,C0100072,2023-12-15,90000,84000,5.109,15,148,716.83,0.667,126000,0
M0100073,C0100073,2024-02-18,1139000,1105000,7.077,30,330,7636.79,0.574,1924000,0
M0100074,C0100074,2020-03-13,426000,394000,3.87,30,283,2001.99,0.507,777000,0
M0100075,C0100075,2024-11-30,385000,377000,7.281,30,339,2634.48,0.724,521000,0
M0100076,C0100076,2022-01-27,252000,238000,6.883,30,305,1656.81,0.511,466000,0
M0100077,C0100077,2021-05-27,344000,323000,4.448,30,297,1732.38,0.475,680000,0
M0100078,C0100078,2025-04-15,179000,176000,5.161,30,344,978.6,0.601,293000,0
M0100079,C0100079,2020-06-04,419000,358000,4.135,15,105,3127.71,0.433,827000,0
M0100080,C0100080,2024-05-05,141000,137000,4.957,30,332,753.22,0.717,191000,0
M0100081,C0100081,2023-03-26,174000,167000,3.78,30,319,808.79,0.572,292000,0
M0100082,C0100082,2022-06-14,230000,219000,3.542,30,310,1038.2,0.498,440000,0
M0100083,C0100083,2020-06-13,697000,646000,4.121,30,286,3376.39,0.582,1110000,1
M0100084,C0100084,2019-10-10,189000,174000,6.641,30,277,1212.19,0.493,353000,0
M0100085,C0100085,2024-03-18,387000,376000,3.454,30,331,1727.88,0.558,674000,0
M0100086,C0100086,2023-04-01,117000,108000,7.01,15,139,1052.28,0.639,169000,0
M0100087,C0100087,2022-01-17,332000,314000,6.506,30,305,2099.78,0.491,639000,0
M0100088,C0100088,2023-03-26,780000,748000,6.949,30,319,5162.67,0.628,1192000,0
M0100089,C0100089,2025-03-18,421000,414000,5.879,30,343,2491.45,0.765,541000,0
M0100090,C0100090,2021-01-07,116000,108000,7.314,30,292,796.37,0.655,165000,0
M0100091,C0100091,2022-04-27,335000,318000,3.922,30,308,1584.31,0.513,620000,0
M0100092,C0100092,2024-12-03,260000,255000,7.005,30,339,1730.66,0.548,465000,0
M0100093,C0100093,2021-11-13,605000,571000,8.0,30,303,4439.28,0.539,1059000,0
M0100094,C0100094,2020-04-06,312000,289000,5.21,30,283,1715.15,0.703,411000,0
M0100095,C0100095,2021-10-31,160000,151000,5.439,30,302,902.35,0.517,292000,0
M0100096,C0100096,2022-11-02,306000,292000,4.486,30,314,1547.91,0.558,523000,0
M0100097,C0100097,2021-01-10,231000,216000,5.573,30,292,1322.19,0.695,311000,0
M0100098,C0100098,2024-01-26,111000,108000,5.705,30,329,644.6,0.614,176000,0
M0100099,C0100099,2025-02-16,300000,295000,2.901,30,342,1248.85,0.661,446000,0
M0100100,C0100100,2022-10-04,328000,313000,6.173,30,313,2003.16,0.535,585000,0
M0100101,C0100101,2024-01-10,397000,385000,6.721,30,328,2567.29,0.62,621000,0
M0100102,C0100102,2022-10-04,545000,495000,4.531,15,133,4177.85,0.516,960000,0
M0100103,C0100103,2021-07-17,285000,268000,5.033,30,299,1535.69,0.486,552000,0
M0100104,C0100104,2020-08-14,155000,144000,6.433,30,288,972.89,0.593,243000,0
M0100105,C0100105,2022-02-23,216000,205000,4.478,30,306,1091.62,0.498,412000,0
M0100106,C0100106,2022-01-17,325000,307000,6.318,30,305,2015.48,0.624,492000,0
M0100107,C0100107,2020-01-02,602000,555000,5.815,30,280,3538.01,0.62,895000,0
M0100108,C0100108,2020-04-01,328000,279000,8.0,15,103,3134.54,0.623,448000,0
M0100109,C0100109,2020-12-29,307000,287000,5.359,30,292,1716.05,0.521,551000,0
M0100110,C0100110,2020-03-30,291000,269000,4.913,30,283,1546.71,0.511,526000,1
M0100111,C0100111,2022-11-15,326000,311000,5.772,30,315,1907.01,0.707,440000,0
M0100112,C0100112,2021-02-04,852000,741000,5.627,15,113,7019.1,0.447,1658000,0
M0100113,C0100113,2022-07-01,314000,283000,7.295,15,130,2874.36,0.588,481000,0
M0100114,C0100114,2022-01-04,287000,271000,7.237,30,304,1955.32,0.543,499000,0
M0100115,C0100115,2021-09-28,334000,315000,4.697,30,301,1731.65,0.498,633000,0
M0100116,C0100116,2025-03-24,234000,230000,5.289,30,343,1297.81,0.604,381000,0
M0100117,C0100117,2025-08-20,150000,146000,4.736,15,168,1165.66,0.509,287000,0
M0100118,C0100118,2019-12-25,137000,126000,4.541,30,280,697.5,0.506,249000,0
M0100119,C0100119,2023-07-07,228000,220000,2.8,30,322,936.84,0.63,349000,0
M0100120,C0100120,2025-05-23,592000,583000,7.358,30,345,4081.94,0.621,939000,0
M0100121,C0100121,2024-12-19,587000,575000,4.763,30,340,3066.67,0.566,1016000,0
M0100122,C0100122,2025-06-18,188000,185000,5.009,30,346,1010.26,0.515,359000,0
M0100123,C0100123,2024-04-05,303000,294000,8.0,30,331,2223.31,0.488,603000,0
M0100124,C0100124,2021-04-28,350000,328000,4.796,30,296,1835.48,0.685,479000,0
M0100125,C0100125,2020-09-21,228000,212000,5.299,30,289,1265.95,0.542,391000,0
M0100126,C0100126,2025-04-27,631000,611000,5.794,15,164,5254.77,0.502,1218000,0
M0100127,C0100127,2022-05-29,480000,456000,5.872,30,309,2838.46,0.652,699000,0
M0100128,C0100128,2021-09-25,393000,370000,4.819,30,301,2066.45,0.579,639000,0
M0100129,C0100129,2020-07-15,339000,290000,6.736,15,107,2997.21,0.482,602000,0
M0100130,C0100130,2020-04-08,150000,139000,5.677,30,283,868.42,0.579,240000,0
M0100131,C0100131,2020-05-14,646000,598000,5.624,30,285,3718.33,0.672,890000,0
M0100132,C0100132,2021-05-25,438000,411000,4.759,30,297,2287.19,0.674,610000,0
M0100133,C0100133,2020-11-11,402000,375000,5.356,30,291,2246.33,0.55,682000,0
M0100134,C0100134,2021-03-26,227000,213000,6.572,30,295,1445.56,0.471,452000,0
M0100135,C0100135,2021-02-16,237000,222000,6.576,30,294,1509.87,0.703,316000,0
M0100136,C0100136,2020-04-15,420000,389000,5.028,30,284,2261.84,0.572,680000,0
M0100137,C0100137,2024-09-13,569000,543000,4.649,15,157,4396.27,0.725,749000,0
M0100138,C0100138,2025-03-07,776000,762000,6.466,30,342,4887.51,0.54,1411000,0
M0100139,C0100139,2024-01-31,227000,220000,5.831,30,329,1336.41,0.521,422000,0
M0100140,C0100140,2019-12-29,303000,256000,6.465,15,100,2633.63,0.476,538000,0
M0100141,C0100141,2021-06-23,115000,108000,4.434,30,298,578.19,0.537,201000,0
M0100142,C0100142,2022-11-16,96000,87000,5.476,15,135,783.18,0.486,179000,0
M0100143,C0100143,2023-11-22,426000,412000,6.467,30,327,2683.37,0.541,762000,0
M0100144,C0100144,2024-07-02,214000,209000,4.717,30,334,1112.07,0.573,365000,0
M0100145,C0100145,2023-06-13,122000,117000,7.576,30,322,859.4,0.537,218000,0
M0100146,C0100146,2019-12-29,183000,169000,7.293,30,280,1253.72,0.693,244000,0
M0100147,C0100147,2020-01-31,389000,359000,5.276,30,281,2154.34,0.612,587000,0
M0100148,C0100148,2019-11-12,397000,365000,5.284,30,279,2200.62,0.527,693000,0
M0100149,C0100149,2021-06-19,145000,136000,5.853,30,298,855.69,0.507,268000,0
M0100150,C0100150,2022-03-08,608000,576000,5.687,30,306,3523.83,0.673,856000,0
M0100151,C0100151,2025-01-21,231000,227000,6.836,30,341,1511.49,0.656,346000,0
M0100152,C0100152,2022-02-22,376000,356000,4.531,30,306,1912.07,0.597,596000,0
M0100153,C0100153,2021-05-16,334000,313000,4.543,30,297,1700.87,0.485,646000,0
M0100154,C0100154,2023-03-06,326000,313000,5.798,30,318,1912.4,0.629,498000,0
M0100155,C0100155,2020-12-08,205000,191000,6.044,30,291,1234.88,0.687,278000,0
M0100156,C0100156,2022-02-28,324000,307000,5.461,30,306,1831.72,0.498,617000,0
M0100157,C0100157,2020-03-21,375000,347000,6.485,30,283,2366.56,0.598,580000,0
M0100158,C0100158,2025-01-20,297000,291000,7.004,30,341,1976.75,0.517,563000,0
M0100159,C0100159,2021-08-03,345000,324000,6.322,30,299,2140.41,0.715,453000,0
M0100160,C0100160,2023-08-19,569000,549000,5.908,30,324,3377.86,0.492,1115000,0
M0100161,C0100161,2025-02-14,259000,250000,5.262,15,162,2083.68,0.491,509000,0
M0100162,C0100162,2023-11-14,454000,439000,5.583,30,327,2601.45,0.66,665000,0
M0100163,C0100163,2021-02-09,295000,276000,3.997,30,293,1407.86,0.732,377000,0
M0100164,C0100164,2024-08-02,668000,652000,4.191,30,335,3263.13,0.629,1036000,0
M0100165,C0100165,2021-10-05,162000,153000,6.885,30,301,1065.31,0.662,231000,0
M0100166,C0100166,2024-06-27,629000,597000,7.429,15,154,5805.56,0.519,1151000,0
M0100167,C0100167,2022-12-18,251000,240000,3.997,30,316,1197.88,0.745,322000,0
M0100168,C0100168,2024-10-28,942000,921000,6.101,30,338,5709.08,0.732,1259000,0
M0100169,C0100169,2021-02-19,407000,381000,3.823,30,294,1901.78,0.537,710000,0
M0100170,C0100170,2020-06-20,501000,465000,7.313,30,286,3439.14,0.498,933000,0
M0100171,C0100171,2022-07-19,302000,287000,5.482,30,311,1711.31,0.745,385000,0
M0100172,C0100172,2023-05-07,461000,443000,8.0,30,320,3382.65,0.667,664000,0
M0100173,C0100173,2020-02-09,461000,426000,4.8,30,281,2418.71,0.541,787000,0
M0100174,C0100174,2020-01-09,305000,281000,4.939,30,280,1625.95,0.63,446000,0
M0100175,C0100175,2020-02-10,480000,443000,5.94,30,281,2859.35,0.531,834000,0
M0100176,C0100176,2020-12-31,80000,75000,6.494,30,292,505.34,0.547,137000,0
M0100177,C0100177,2024-05-06,238000,231000,6.392,30,332,1487.46,0.595,388000,0
M0100178,C0100178,2024-09-25,331000,323000,6.571,30,337,2107.62,0.531,608000,0
M0100179,C0100179,2023-01-21,421000,403000,5.251,30,317,2325.04,0.734,549000,0
M0100180,C0100180,2022-04-17,533000,506000,6.584,30,308,3398.42,0.714,709000,0
M0100181,C0100181,2024-07-04,289000,274000,7.946,15,154,2752.83,0.704,389000,0
M0100182,C0100182,2024-10-28,270000,264000,6.381,30,338,1685.51,0.493,535000,0
M0100183,C0100183,2023-09-18,507000,489000,4.6,30,325,2599.11,0.662,739000,0
M0100184,C0100184,2023-08-05,583000,541000,5.97,15,143,4910.24,0.6,901000,0
M0100185,C0100185,2024-05-11,474000,461000,3.347,30,332,2088.2,0.67,688000,0
M0100186,C0100186,2022-12-05,304000,291000,6.273,30,315,1876.33,0.531,548000,0
M0100187,C0100187,2022-08-17,1172000,1116000,3.666,30,312,5372.0,0.657,1698000,0
M0100188,C0100188,2025-02-11,341000,335000,6.29,30,342,2108.47,0.587,571000,1
M0100189,C0100189,2025-09-10,365000,361000,5.456,30,348,2062.36,0.743,486000,0
M0100190,C0100190,2025-06-24,742000,731000,6.605,30,346,4741.3,0.53,1380000,0
M0100191,C0100191,2020-12-13,704000,657000,5.553,30,292,4020.68,0.475,1384000,0
M0100192,C0100192,2020-11-10,467000,435000,7.055,30,290,3124.23,0.614,708000,0
M0100193,C0100193,2024-09-28,209000,204000,6.13,30,337,1270.58,0.736,277000,0
M0100194,C0100194,2020-01-18,347000,320000,6.712,30,281,2241.88,0.61,525000,0
M0100195,C0100195,2024-01-20,425000,412000,5.077,30,329,2301.53,0.707,583000,0
M0100196,C0100196,2020-04-30,870000,805000,5.02,30,284,4680.99,0.483,1668000,0
M0100197,C0100197,2024-08-24,1432000,1398000,3.967,30,336,6809.37,0.495,2826000,0
M0100198,C0100198,2020-10-17,243000,210000,4.249,15,110,1827.91,0.587,358000,0
M0100199,C0100199,2023-07-29,502000,484000,5.607,30,323,2884.09,0.53,913000,0
M0100200,C0100200,2021-01-03,218000,204000,5.572,30,292,1247.65,0.514,397000,0
M0100201,C0100201,2025-03-27,308000,303000,5.942,30,343,1835.15,0.536,565000,0
M0100202,C0100202,2022-04-07,212000,201000,4.742,30,307,1104.87,0.718,280000,0
M0100203,C0100203,2020-07-18,755000,701000,5.687,30,287,4375.81,0.492,1424000,0
M0100204,C0100204,2024-12-07,369000,361000,6.981,30,339,2450.26,0.619,583000,0
M0100205,C0100205,2023-03-18,380000,365000,5.977,30,319,2272.68,0.515,709000,0
M0100206,C0100206,2020-05-07,336000,311000,5.544,30,284,1917.06,0.617,504000,0
M0100207,C0100207,2020-02-26,396000,336000,5.815,15,102,3302.22,0.438,767000,0
M0100208,C0100208,2022-09-12,402000,365000,6.868,15,133,3583.69,0.641,569000,0
M0100209,C0100209,2025-06-01,233000,230000,5.691,30,345,1351.0,0.712,323000,0
M0100210,C0100210,2020-01-15,141000,130000,4.929,30,281,750.81,0.73,178000,0
M0100211,C0100211,2024-08-30,169000,165000,4.94,30,336,901.04,0.665,248000,0
M0100212,C0100212,2023-03-28,146000,140000,4.901,30,319,774.95,0.611,229000,0
M0100213,C0100213,2020-09-07,361000,336000,4.874,30,288,1910.22,0.51,659000,0
M0100214,C0100214,2025-01-14,218000,214000,6.369,30,341,1359.18,0.756,283000,0
M0100215,C0100215,2022-12-01,535000,511000,7.371,30,315,3693.65,0.673,759000,0
M0100216,C0100216,2021-12-18,370000,350000,5.051,30,304,1997.79,0.556,629000,0
M0100217,C0100217,2025-05-04,131000,129000,4.508,30,344,664.38,0.54,239000,0
M0100218,C0100218,2022-10-17,267000,255000,4.103,30,314,1290.6,0.54,472000,0
M0100219,C0100219,2025-06-01,113000,111000,7.399,30,345,782.31,0.539,206000,0
M0100220,C0100220,2021-10-27,185000,174000,6.563,30,302,1177.0,0.513,339000,0
M0100221,C0100221,2020-05-01,256000,218000,4.751,15,104,1991.38,0.619,352000,0
M0100222,C0100222,2024-06-23,204000,199000,5.654,30,334,1178.08,0.666,299000,0
M0100223,C0100223,2024-02-16,841000,816000,7.043,30,330,5619.5,0.504,1618000,0
M0100224,C0100224,2024-12-02,477000,467000,5.43,30,339,2687.44,0.545,857000,0
M0100225,C0100225,2023-03-27,278000,267000,6.449,30,319,1747.84,0.487,548000,0
M0100226,C0100226,2025-09-03,669000,661000,5.328,30,348,3726.63,0.5,1322000,0
M0100227,C0100227,2020-04-26,201000,186000,5.175,30,284,1100.61,0.738,252000,0
M0100228,C0100228,2025-02-14,278000,273000,2.8,30,342,1142.29,0.58,471000,0
M0100229,C0100229,2021-09-10,502000,473000,5.055,30,300,2711.74,0.51,928000,1
M0100230,C0100230,2023-10-10,188000,182000,4.91,30,325,998.91,0.557,327000,0
M0100231,C0100231,2021-01-28,462000,432000,6.072,30,293,2791.35,0.719,601000,0
M0100232,C0100232,2025-05-22,379000,373000,5.775,30,345,2217.76,0.559,667000,0
M0100233,C0100233,2022-11-14,440000,420000,5.718,30,315,2558.78,0.595,706000,0
M0100234,C0100234,2025-02-20,805000,790000,6.548,30,342,5113.59,0.584,1352000,0
M0100235,C0100235,2021-07-12,412000,387000,2.929,30,299,1721.27,0.509,760000,0
M0100236,C0100236,2024-07-17,349000,340000,5.446,30,335,1969.78,0.708,480000,0
M0100237,C0100237,2022-03-12,155000,147000,4.213,30,306,759.15,0.626,235000,0
M0100238,C0100238,2023-04-04,364000,349000,4.123,30,319,1763.7,0.744,469000,0
M0100239,C0100239,2024-09-04,258000,246000,5.18,15,156,2064.52,0.568,433000,0
M0100240,C0100240,2024-07-17,308000,293000,5.524,15,155,2520.54,0.723,405000,0
M0100241,C0100241,2022-04-06,259000,246000,6.053,30,307,1561.67,0.66,373000,1
M0100242,C0100242,2024-05-28,419000,397000,5.98,15,153,3531.23,0.522,760000,0
M0100243,C0100243,2020-02-23,200000,185000,4.591,30,282,1024.21,0.693,267000,0
M0100244,C0100244,2021-02-12,364000,340000,5.283,30,294,2017.47,0.618,550000,0
M0100245,C0100245,2023-08-17,195000,188000,7.081,30,324,1307.97,0.531,354000,0
M0100246,C0100246,2023-05-07,133000,128000,7.275,30,320,909.55,0.527,243000,0
M0100247,C0100247,2022-09-26,276000,263000,5.162,30,313,1509.07,0.526,500000,0
M0100248,C0100248,2020-11-19,413000,385000,5.602,30,291,2371.47,0.549,701000,0
M0100249,C0100249,2023-03-15,222000,213000,4.514,30,319,1126.69,0.541,394000,0
M0100250,C0100250,2023-03-27,351000,337000,6.63,30,319,2248.65,0.549,614000,0
M0100251,C0100251,2021-07-26,273000,257000,8.0,30,299,2003.18,0.567,453000,0
M0100252,C0100252,2024-02-27,195000,189000,4.911,30,330,1036.22,0.63,300000,0
M0100253,C0100253,2021-12-08,433000,409000,6.794,30,303,2821.11,0.709,577000,0
M0100254,C0100254,2023-05-23,237000,228000,6.31,30,321,1468.51,0.514,444000,1
M0100255,C0100255,2022-11-02,395000,377000,5.315,30,314,2197.13,0.588,641000,0
M0100256,C0100256,2021-01-20,158000,148000,4.734,30,293,822.68,0.51,290000,0
M0100257,C0100257,2025-05-31,351000,346000,8.0,30,345,2575.51,0.616,562000,0
M0100258,C0100258,2021-10-15,448000,422000,6.343,30,302,2785.57,0.545,775000,0
M0100259,C0100259,2024-02-10,391000,379000,6.554,30,329,2485.29,0.488,777000,0
M0100260,C0100260,2025-08-22,512000,506000,5.267,30,348,2832.68,0.747,677000,0
M0100261,C0100261,2023-10-24,453000,438000,5.567,30,326,2591.16,0.659,665000,0
M0100262,C0100262,2021-01-10,381000,356000,4.162,30,292,1854.71,0.647,550000,0
M0100263,C0100263,2021-04-21,500000,469000,6.337,30,296,3106.93,0.489,960000,0
M0100264,C0100264,2024-02-27,272000,256000,5.088,15,150,2163.45,0.701,365000,0
M0100265,C0100265,2023-04-28,425000,408000,4.371,30,320,2120.96,0.511,799000,0
M0100266,C0100266,2020-06-24,331000,307000,4.56,30,286,1688.95,0.698,440000,0
M0100267,C0100267,2023-06-06,827000,795000,8.0,30,321,6068.23,0.484,1643000,0
M0100268,C0100268,2024-03-03,376000,365000,5.173,30,330,2058.39,0.714,511000,1
M0100269,C0100269,2023-01-09,172000,165000,5.905,30,316,1020.75,0.75,220000,0
M0100270,C0100270,2020-12-31,372000,323000,4.186,15,112,2786.44,0.449,720000,0
M0100271,C0100271,2023-02-08,204000,195000,5.292,30,317,1131.81,0.491,397000,0
M0100272,C0100272,2022-08-11,472000,450000,3.992,30,311,2251.22,0.598,752000,0
M0100273,C0100273,2021-05-24,476000,447000,5.909,30,297,2826.07,0.548,816000,0
M0100274,C0100274,2020-07-14,242000,225000,4.498,30,287,1225.89,0.666,338000,0
M0100275,C0100275,2021-09-05,195000,184000,6.378,30,300,1216.93,0.479,384000,0
M0100276,C0100276,2023-04-06,350000,336000,3.531,30,319,1577.72,0.511,658000,0
M0100277,C0100277,2021-02-14,209000,195000,4.805,30,294,1097.18,0.488,400000,0
M0100278,C0100278,2021-01-08,216000,202000,6.794,30,292,1407.3,0.496,407000,0
M0100279,C0100279,2024-06-14,254000,241000,7.186,15,154,2309.52,0.57,423000,0
M0100280,C0100280,2021-07-11,448000,421000,5.507,30,298,2545.66,0.626,672000,0
M0100281,C0100281,2021-04-02,156000,146000,5.073,30,295,844.42,0.469,311000,1
M0100282,C0100282,2023-11-20,225000,218000,5.628,30,327,1295.65,0.626,348000,0
M0100283,C0100283,2023-12-03,1087000,1052000,7.757,30,327,7792.66,0.489,2151000,0
M0100284,C0100284,2021-08-27,871000,769000,5.205,15,120,6981.18,0.62,1241000,0
M0100285,C0100285,2025-09-11,600000,593000,5.504,30,349,3408.24,0.581,1020000,0
M0100286,C0100286,2023-12-15,335000,324000,4.342,30,328,1666.09,0.582,557000,0
M0100287,C0100287,2021-11-11,477000,423000,4.755,15,123,3711.49,0.612,691000,0
M0100288,C0100288,2022-12-21,270000,258000,5.985,30,316,1616.18,0.662,390000,0
M0100289,C0100289,2025-08-17,85000,84000,6.482,30,348,536.25,0.538,156000,0
M0100290,C0100290,2024-12-07,246000,241000,5.833,30,339,1448.59,0.653,369000,0
M0100291,C0100291,2025-02-09,259000,254000,6.414,30,341,1622.44,0.559,454000,0
M0100292,C0100292,2022-07-07,332000,316000,4.399,30,310,1662.33,0.579,546000,0
M0100293,C0100293,2025-06-13,417000,411000,4.29,30,346,2061.17,0.709,580000,0
M0100294,C0100294,2021-02-14,748000,699000,6.374,30,294,4666.06,0.64,1093000,0
M0100295,C0100295,2022-01-23,333000,315000,4.976,30,305,1782.73,0.634,497000,0
M0100296,C0100296,2022-09-03,198000,189000,4.208,30,312,969.18,0.656,288000,0
M0100297,C0100297,2024-06-13,297000,289000,5.723,30,334,1728.12,0.734,394000,0
M0100298,C0100298,2024-07-31,452000,441000,5.594,30,335,2593.13,0.776,568000,0
M0100299,C0100299,2020-11-04,310000,289000,5.291,30,290,1719.71,0.504,573000,0
M0100300,C0100300,2022-01-02,219000,207000,7.246,30,304,1493.37,0.653,317000,0
M0100301,C0100301,2023-07-24,426000,410000,7.562,30,323,2996.76,0.5,820000,0
M0100302,C0100302,2024-06-10,185000,180000,6.556,30,333,1176.15,0.766,235000,0
M0100303,C0100303,2023-09-08,211000,196000,5.972,15,144,1777.35,0.505,388000,0
M0100304,C0100304,2023-11-22,404000,391000,7.018,30,327,2692.71,0.656,596000,0
M0100305,C0100305,2022-08-11,221000,200000,5.674,15,131,1826.22,0.517,387000,0
M0100306,C0100306,2024-02-11,275000,267000,5.287,30,330,1524.87,0.548,487000,0
