customer_id,timestamp,branch_id,interaction_type,banker_note,mortgage_discussion_flag,rate_discussion_flag,refinancing_discussion_flag
C0100324,2026-08-17 10:53:49.529200,B113,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100330,2026-08-01 18:08:46.004745,B006,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100336,2026-07-29 06:39:12.151187,B061,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100341,2026-08-31 15:00:57.412341,B085,TELLER,Signed paperwork for savings account.,0,0,0
C0100342,2026-06-22 06:29:12.852565,B070,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0100346,2026-07-30 08:38:53.246500,B119,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100359,2026-07-13 04:50:29.447952,B068,GENERAL,Client came in to update address on file.,0,0,0
C0100361,2026-06-26 00:04:29.004299,B050,TELLER,Client came in to update address on file.,0,0,0
C0100366,2026-06-24 16:53:37.605733,B103,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0100368,2026-08-28 08:58:27.356102,B015,TELLER,Discussed CD options.,0,0,0
C0100373,2026-06-16 00:40:56.263967,B105,TELLER,Discussed CD options.,0,0,0
C0100382,2026-09-10 16:06:37.266902,B015,GENERAL,Client came in to update address on file.,0,0,0
C0100393,2026-08-06 07:58:57.920143,B060,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100394,2026-07-07 16:28:11.689251,B043,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0100403,2026-08-04 08:59:38.990582,B016,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100415,2026-07-11 19:11:54.849882,B109,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100418,2026-08-08 13:58:59.645919,B009,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100421,2026-07-11 00:07:08.672065,B039,GENERAL,Discussed CD options.,0,0,0
C0100423,2026-09-03 13:51:12.312592,B043,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100429,2026-06-18 07:39:51.265875,B056,GENERAL,Client came in to update address on file.,0,0,0
C0100434,2026-07-23 07:07:57.613450,B002,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100438,2026-07-09 08:15:03.577318,B065,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100445,2026-09-05 10:52:42.229035,B035,GENERAL,Client came in to update address on file.,0,0,0
C0100450,2026-08-30 13:47:33.234535,B087,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0100453,2026-09-10 04:13:17.896618,B083,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0100459,2026-07-08 19:18:28.259105,B081,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100461,2026-09-06 14:20:15.380675,B102,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100474,2026-07-11 18:00:24.175901,B051,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100481,2026-08-02 06:51:16.034364,B062,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100486,2026-08-31 21:42:22.385739,B002,TELLER,Signed paperwork for savings account.,0,0,0
C0100495,2026-07-30 07:07:26.678377,B051,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100497,2026-07-11 17:17:12.003243,B074,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100502,2026-08-27 02:02:09.090975,B094,GENERAL,Discussed CD options.,0,0,0
C0100517,2026-07-16 03:42:47.034170,B038,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100521,2026-07-07 21:21:46.901968,B053,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100531,2026-08-15 16:26:39.766340,B076,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0100545,2026-06-16 12:35:31.703496,B003,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0100556,2026-09-08 13:26:23.580762,B027,TELLER,Discussed CD options.,0,0,0
C0100568,2026-06-26 17:07:04.947472,B065,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0100570,2026-06-22 19:42:11.717982,B076,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100576,2026-06-20 02:31:14.617711,B070,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0100581,2026-07-17 16:34:05.566127,B041,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100582,2026-08-04 23:24:40.525828,B016,TELLER,Signed paperwork for savings account.,0,0,0
C0100590,2026-07-05 16:12:07.935265,B045,GENERAL,Signed paperwork for savings account.,0,0,0
C0100600,2026-08-30 23:47:48.026481,B104,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100602,2026-08-15 08:45:40.636405,B012,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100606,2026-09-05 10:45:01.654915,B079,GENERAL,Client came in to update address on file.,0,0,0
C0100613,2026-06-22 03:21:11.861926,B005,TELLER,Discussed CD options.,0,0,0
C0100621,2026-08-11 18:07:20.265578,B027,GENERAL,Discussed CD options.,0,0,0
C0100622,2026-07-07 17:33:04.328066,B066,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100625,2026-07-10 12:04:22.519640,B002,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100627,2026-08-05 04:23:48.472698,B054,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0100628,2026-06-16 20:04:55.222782,B030,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100643,2026-08-04 19:46:20.503149,B037,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100645,2026-07-30 11:48:08.900206,B092,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0100646,2026-09-04 20:23:04.658244,B098,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100647,2026-07-17 21:07:04.370200,B090,GENERAL,Signed paperwork for savings account.,0,0,0
C0100651,2026-08-21 14:10:44.678444,B101,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100685,2026-07-26 03:51:01.918639,B044,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100694,2026-08-09 05:00:57.731717,B091,TELLER,Client came in to update address on file.,0,0,0
C0100701,2026-09-10 23:42:06.557162,B002,GENERAL,Signed paperwork for savings account.,0,0,0
C0100708,2026-09-08 08:40:10.908775,B107,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100723,2026-06-23 14:06:43.678619,B114,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100726,2026-06-26 04:04:30.540037,B103,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100731,2026-07-13 16:08:19.481833,B103,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100733,2026-08-30 12:29:11.323744,B115,GENERAL,Client came in to update address on file.,0,0,0
C0100735,2026-06-18 18:56:02.017238,B073,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100744,2026-08-22 08:43:21.147864,B046,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100754,2026-06-28 10:19:10.788046,B019,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100766,2026-07-01 14:39:19.752817,B012,GENERAL,Signed paperwork for savings account.,0,0,0
C0100773,2026-08-08 15:31:15.960630,B050,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100781,2026-08-02 23:19:39.997259,B066,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0100782,2026-06-30 23:04:06.467952,B023,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0100785,2026-07-15 19:25:33.449901,B099,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0100786,2026-08-21 19:53:14.339151,B047,GENERAL,Signed paperwork for savings account.,0,0,0
C0100788,2026-08-01 13:42:32.731956,B116,GENERAL,Discussed CD options.,0,0,0
C0100789,2026-07-21 01:29:40.573590,B075,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100796,2026-07-11 08:16:57.792628,B034,TELLER,Discussed CD options.,0,0,0
C0100799,2026-06-17 00:38:45.194054,B039,GENERAL,Discussed CD options.,0,0,0
C0100800,2026-06-25 17:20:27.604012,B067,GENERAL,Discussed CD options.,0,0,0
C0100806,2026-08-22 12:46:32.819210,B071,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0100809,2026-09-01 10:15:33.094290,B082,TELLER,Signed paperwork for savings account.,0,0,0
C0100818,2026-06-14 16:24:58.666469,B025,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100819,2026-07-22 17:47:29.016057,B081,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0100821,2026-07-25 19:27:08.124526,B086,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0100822,2026-09-02 14:48:38.154357,B098,TELLER,Signed paperwork for savings account.,0,0,0
C0100833,2026-07-26 01:57:07.368586,B006,GENERAL,Client came in to update address on file.,0,0,0
C0100835,2026-08-25 00:36:50.602687,B099,GENERAL,Discussed CD options.,0,0,0
C0100843,2026-08-14 15:58:41.758930,B059,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0100846,2026-09-06 17:08:41.360972,B062,TELLER,Client came in to update address on file.,0,0,0
C0100853,2026-08-25 22:02:51.246485,B008,TELLER,Signed paperwork for savings account.,0,0,0
C0100857,2026-06-18 02:51:16.342754,B108,TELLER,Signed paperwork for savings account.,0,0,0
C0100859,2026-09-01 10:56:39.655862,B059,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0100862,2026-07-03 00:34:21.492916,B089,TELLER,Signed paperwork for savings account.,0,0,0
C0100879,2026-07-31 08:41:36.261995,B110,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100890,2026-08-04 12:19:52.047662,B108,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0100893,2026-09-09 03:17:38.961735,B014,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0100900,2026-07-22 02:48:47.060203,B058,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100902,2026-08-31 15:25:28.142628,B068,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100921,2026-08-03 23:12:14.018446,B096,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0100926,2026-09-06 19:56:40.806410,B042,GENERAL,Discussed CD options.,0,0,0
C0100927,2026-08-10 23:13:11.219970,B014,GENERAL,Signed paperwork for savings account.,0,0,0
C0100946,2026-08-06 21:08:03.412574,B072,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100951,2026-08-10 04:56:57.796499,B036,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100952,2026-08-12 05:32:57.112076,B097,TELLER,Signed paperwork for savings account.,0,0,0
C0100961,2026-07-29 22:16:41.825521,B040,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0100964,2026-08-03 19:57:02.307696,B077,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100972,2026-06-20 19:34:45.155083,B043,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0100982,2026-07-18 08:30:38.944471,B041,GENERAL,Discussed CD options.,0,0,0
C0100992,2026-07-09 09:39:59.413551,B069,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0100993,2026-08-13 18:18:10.500376,B044,GENERAL,Discussed CD options.,0,0,0
C0101006,2026-06-14 08:21:44.011947,B044,TELLER,Client came in to update address on file.,0,0,0
C0101008,2026-07-21 01:37:19.407366,B003,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101026,2026-07-27 08:31:42.247396,B072,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101030,2026-06-16 11:57:02.498629,B041,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0101033,2026-07-11 21:37:30.419747,B008,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0101038,2026-07-31 19:08:24.179856,B045,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0101039,2026-08-12 01:59:29.056426,B115,GENERAL,Discussed CD options.,0,0,0
C0101050,2026-06-24 16:49:04.778209,B082,TELLER,Discussed CD options.,0,0,0
C0101051,2026-06-24 19:47:50.797973,B104,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0101054,2026-08-15 01:42:10.494420,B080,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0101059,2026-07-03 16:40:13.231076,B032,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0101072,2026-07-26 20:07:03.108059,B056,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0101079,2026-07-11 12:29:26.290748,B004,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101087,2026-08-05 10:26:08.883768,B106,TELLER,Discussed CD options.,0,0,0
C0101097,2026-08-27 03:05:43.855137,B116,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0101098,2026-07-17 00:39:19.033057,B059,GENERAL,Signed paperwork for savings account.,0,0,0
C0101100,2026-09-02 01:56:47.471322,B119,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101113,2026-09-03 02:10:24.658623,B031,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0101124,2026-07-06 13:17:03.795572,B108,GENERAL,Signed paperwork for savings account.,0,0,0
C0101128,2026-06-29 01:52:53.940846,B052,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0101134,2026-07-12 18:24:01.165934,B070,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0101137,2026-07-10 17:45:03.331735,B075,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0101144,2026-08-02 01:14:07.569511,B011,TELLER,Signed paperwork for savings account.,0,0,0
C0101148,2026-06-27 22:02:50.197931,B081,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0101149,2026-07-08 03:56:20.442850,B008,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101152,2026-09-07 18:27:38.801663,B047,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101154,2026-09-01 20:49:37.339655,B075,TELLER,Signed paperwork for savings account.,0,0,0
C0101155,2026-07-24 00:30:36.933931,B008,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101163,2026-08-13 02:08:11.660843,B022,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0101169,2026-06-30 00:46:12.941039,B035,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0101178,2026-06-21 11:36:23.175667,B083,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101194,2026-07-17 05:01:19.517663,B066,TELLER,Signed paperwork for savings account.,0,0,0
C0101196,2026-07-08 15:31:58.774398,B060,ACCOUNT_SERVICE,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101197,2026-07-23 19:04:03.416636,B016,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0101199,2026-06-23 18:17:32.051697,B042,GENERAL,Client came in to update address on file.,0,0,0
C0101208,2026-09-08 17:09:21.850689,B044,GENERAL,Signed paperwork for savings account.,0,0,0
C0101229,2026-08-24 20:22:47.659492,B094,TELLER,Signed paperwork for savings account.,0,0,0
C0101230,2026-07-02 03:39:58.271648,B053,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101233,2026-07-21 14:01:53.569242,B026,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101235,2026-07-28 16:45:55.668802,B112,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101249,2026-08-08 07:23:24.520309,B045,TELLER,Signed paperwork for savings account.,0,0,0
C0101252,2026-07-07 03:03:41.142410,B012,TELLER,Discussed CD options.,0,0,0
C0101253,2026-06-21 03:29:23.071962,B003,ACCOUNT_SERVICE,Client came in to update address on file.,0,0,0
C0101255,2026-08-02 17:42:29.754073,B057,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,0,1
C0101256,2026-08-27 18:43:52.063348,B009,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101259,2026-07-05 09:05:49.756557,B005,TELLER,Signed paperwork for savings account.,0,0,0
C0101260,2026-06-30 12:50:55.774097,B103,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0101269,2026-07-27 14:49:36.858472,B068,TELLER,Client came in to update address on file.,0,0,0
C0101281,2026-08-17 22:46:01.522293,B021,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101284,2026-09-09 14:34:40.823584,B005,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101288,2026-06-19 11:04:52.019244,B119,GENERAL,Discussed CD options.,0,0,0
C0101300,2026-07-28 20:46:33.131294,B107,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0101302,2026-06-28 19:20:38.131166,B089,ACCOUNT_SERVICE,Signed paperwork for savings account.,0,0,0
C0101310,2026-07-01 16:52:50.794969,B060,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0101314,2026-08-20 03:53:35.929696,B046,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0101325,2026-07-27 16:13:39.087435,B113,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101328,2026-07-02 05:50:33.082080,B071,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101339,2026-07-17 05:23:12.259382,B041,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0101341,2026-08-22 16:07:10.684084,B095,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0101347,2026-07-21 03:57:22.000693,B019,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0101349,2026-08-11 04:57:52.666538,B004,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0101353,2026-08-23 02:08:44.725197,B076,TELLER,Client came in to update address on file.,0,0,0
C0101359,2026-07-10 19:38:43.939954,B036,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101360,2026-08-23 02:20:28.943483,B107,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101367,2026-06-27 01:39:50.450983,B062,GENERAL,Signed paperwork for savings account.,0,0,0
C0101381,2026-08-16 19:28:23.906886,B088,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0101385,2026-07-29 21:17:55.011521,B075,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0101391,2026-08-09 11:17:10.068940,B094,TELLER,Signed paperwork for savings account.,0,0,0
C0101398,2026-07-02 01:41:14.641552,B063,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,0,1
C0101403,2026-07-30 03:36:15.302263,B103,MORTGAGE_CONSULT,Discussion about current rates vs. their existing mortgage rate.,1,1,0
C0101405,2026-07-19 17:28:19.383366,B090,MORTGAGE_CONSULT,Client came in asking about refinancing options; mentioned they are shopping around.,1,1,1
C0101426,2026-08-29 00:18:05.295274,B052,MORTGAGE_CONSULT,Wanted to understand payoff process for the mortgage. Discussed remaining term.,1,1,1
C0101428,2026-06-27 10:26:11.673953,B094,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101438,2026-09-04 01:41:04.195681,B064,ACCOUNT_SERVICE,Discussed CD options.,0,0,0
C0101451,2026-07-01 23:49:14.727414,B116,GENERAL,Routine deposit; brief chat about upcoming home renovation.,0,0,0
C0101452,2026-08-17 11:05:05.531130,B041,TELLER,Discussed CD options.,0,0,0
C0101465,2026-06-26 20:55:17.771848,B099,TELLER,Routine deposit; brief chat about upcoming home renovation.,0,0,0
